"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"ABHD3","no value","no value","no value","no value","no value","no value","0.963885145638331","0.118912767241153",0
"ABHD4","0.617003008633449","0.0149819626363954","11.246578783809","0.00917869726452823","no value","no value","0.933777621527172","0.0829183529749742",-1
"ABHD5","0.386827033698893","2.93508464545701e-05","0.0814934256038732","0.1758495276416","no value","no value","0.741356474325421","7.14518692482244e-06",-2
"ABHD6","0.508148604967412","0.0156060870953205","1.18804142508874","0.837582858050723","no value","no value","1.13100324464885","0.111458945297689",-1
"ABHD7","0.468410580779204","3.23476762284394e-07","0.567712947545937","1.02708839377245e-05","no value","no value","no value","no value",-2
"ABHD8","0.666752359524451","0.0638873797403443","Inf","0.316052000383939","no value","no value","1.38812464781418","0.0402413033868264",0
"ABHD9","0.909661179454185","0.719761820774871","1.65974985069836","0.0008158491712378","no value","no value","no value","no value",1
"ABI1","0.400792614676116","0.000150966239106887","Inf","0.0146621562138145","no value","no value","0.862889075707215","0.000453698850077179",-1
"ABI2","0.531648184122348","0.000694167066944586","1.55327619296208","0.628339697699395","no value","no value","1.12886106035034","0.503522684590355",-1
"ABI3","1.04812306312167","0.969938231295388","0.789694419003804","0.0366390460390433","no value","no value","1.90973021517469","0.000216190002703794",0
"ABI3BP","no value","no value","no value","no value","no value","no value","0.994840453261358","0.448347694422475",0
"ABL1","0.670363368539367","0.000419309785483983","no value","no value","1.3714371405331","0.12543647596079","1.38513574092041","0.000100113000823058",0
"ABL2","0.427919749721482","5.98786525938975e-05","no value","no value","1.38011558332741","0.0145274751859046","0.776596033651512","0.000193059903689422",-1
"ABLIM1","0.692498938301214","0.0351045319272673","no value","no value","no value","no value","0.904661256502139","0.387525623836114",-1
"ABLIM2","no value","no value","no value","no value","no value","no value","1.13208748479396","0.63932318198232",0
"ABLIM3","0.589006534369904","0.00193082029713402","537.03054544936","0.000114261680640125","no value","no value","1.11166246862901","0.705210363208403",0
"ABO","0.498833081272093","7.50217289075672e-07","Inf","2.18658537856732e-06","1.81376712428938","0.0378786951612545","2.54938342213036","0.0213172086825388",2
"ABP1","0.449319149681248","1.5423519828174e-10","0.554705861535159","2.95844475476779e-05","no value","no value","0.763710167977734","0.000233729836970658",-3
"ABR","0.525180126265995","0.0024288507699678","0.839806442141364","0.000700710282867911","no value","no value","1.45437855641839","0.484256095299885",-2
"ABRA","0.664968793382951","0.00120289031437038","0.627541332184246","3.62477625569833e-05","no value","no value","0.9873894871438","0.427522465781227",-2
