"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"GRSF1","0.412990215301225","0.000149032249257921","0.319023367199062","0.179788045268475","no value","no value","0.774535483986965","2.4002658288444e-05",-2
"GRTP1","1.04283872499667","0.000216050750733652","1.00503857328887","0.973543727892715","no value","no value","0.934046426417752","0.115197752903407",1
"GRWD1","0.336961376481985","7.99117497018503e-05","1.52789959404951","0.952996765013634","no value","no value","1.00985926923559","0.990138690735294",-1
"GSC","2.99107044037399","0.00518584887295087","Inf","4.87797836538603e-18","no value","no value","4.09767328735178","9.39093231612222e-05",3
"GSCL","2.80621314413409","0.102237417139406","6.30725474117295","9.50722766169736e-13","no value","no value","no value","no value",1
"GSDMA","no value","no value","no value","no value","no value","no value","0.79187359690435","0.000351830970288492",-1
"GSDMB","no value","no value","no value","no value","no value","no value","0.731976409256829","3.09534839329183e-05",-1
"GSDMC","no value","no value","no value","no value","no value","no value","0.479897953046216","4.83574150282589e-09",-1
"GSDMD","no value","no value","no value","no value","no value","no value","1.43856068444557","0.10376187401799",0
"GSDML","0.714619274096317","0.000912974495279586","0.673380781046445","2.9401924738398e-10","no value","no value","no value","no value",-2
"GSG1","1.09250182480806","0.228976360149575","no value","no value","no value","no value","1.24907529116208","0.665402599011927",0
"GSG1L","no value","no value","no value","no value","no value","no value","0.660008502457653","1.97485329699791e-05",-1
"GSG2","0.402770076926021","8.07667690033537e-05","1.24708247349303","0.583688247782536","no value","no value","1.08674704179742","0.00506775256780205",0
"GSH1","3.08848774797008","0.00076292591993829","4.58281635217534","9.14176425562737e-26","no value","no value","no value","no value",2
"GSH2","0.534292015730742","0.000553883823210473","3.37433753334851","0.000682455826572716","no value","no value","no value","no value",0
"GSK3A","0.576890722292283","0.000176688158826227","Inf","0.00274030394330079","no value","no value","0.99097672159951","0.0361137932061847",-1
"GSK3B","0.74652605342241","0.036997155234254","no value","no value","no value","no value","0.897578486050899","0.0166089047201886",-2
"GSN","0.836538032020323","0.00981269754488737","no value","no value","no value","no value","2.21325058958297","3.1912750674263e-05",0
"GSPT1","0.565119718349496","0.00216314962506608","1.41674519657441","0.169992892477046","no value","no value","1.03021603257038","0.337725076620319",-1
"GSPT2","0.902217026166325","0.408336788892183","2.49009175606009","6.54185009812891e-06","no value","no value","no value","no value",1
"GSR","0.548551413788207","0.0450838409544485","0.983851332786609","0.987527405773584","no value","no value","0.929874554800699","0.215637344468509",-1
"GSS","0.413852800410858","8.50611691596592e-08","Inf","0.0347473150539076","no value","no value","0.918658267997329","0.0285277789873757",-1
"GSTA1","no value","no value","no value","no value","no value","no value","0.604269479014695","1.59814903455716e-06",-1
"GSTA2","0.96074831635724","0.493643993347611","0.904023520783988","0.000189798905847907","no value","no value","0.974848267158998","0.261917822090207",-1
"GSTA3","0.782876342934637","0.0041044352853079","no value","no value","no value","no value","no value","no value",-1
"GSTA4","1.72746308701991","0.364490416972161","107.194429480259","7.94972206394134e-09","no value","no value","1.42658718222158","0.0334085484077974",2
"GSTA5","1.09431058406178","0.316195927779955","no value","no value","no value","no value","no value","no value",0
"GSTCD","no value","no value","no value","no value","no value","no value","0.889481669825215","0.032814221065584",-1
"GSTK1","0.503083841817322","0.0017829064048847","1.9960213075516","0.345508429611337","no value","no value","1.09027109589822","0.0995573994977287",0
"GSTM1","0.67055998226513","0.191278883676637","3.54523479551637","0.0122139370584811","2.7616872736305","4.95211007401878e-05","3.16877636432089","4.4210543000235e-07",3
"GSTM2","3.24036980400118","0.0503282148283281","Inf","8.02349312096742e-15","4.14691400696501","0.000156829397942983","1.17136480567155","0.0690248613728898",4
"GSTM3","4.335213866678","0.282218154705212","16.540814585853","1.47099942604637e-09","no value","no value","0.98595605950691","0.705640936181967",1
"GSTM4","0.578446771546694","0.0751002592810888","no value","no value","no value","no value","1.0974438373216","0.587253820217763",-1
"GSTM5","1.57371451582486","7.11727880919209e-05","1.30880060804434","0.00524522572853597","no value","no value","1.61480450256291","1.30405337123202e-08",3
"GSTO1","0.555439650900077","0.00169249754786278","no value","no value","no value","no value","1.30824160487518","0.0623294957173522",0
"GSTO2","1.38498276280505","0.848818912393406","1.70583932665625","0.448978697347691","no value","no value","0.765864367032565","0.0018757828500838",-1
"GSTP1","0.322855298928879","8.60707827176388e-12","no value","no value","1.37835344861958","0.0601801351810897","0.887269885247471","0.109887721534601",0
"GSTT1","0.7135388618252","0.489998951644391","0.337590991438777","0.173816694673975","no value","no value","1.12876853212245","0.796630650055011",0
"GSTT2","no value","no value","no value","no value","no value","no value","0.964600550129363","0.0102628908996885",-1
"GSTZ1","0.774245145743912","0.00250037845449334","2.89775317021337","0.0297905118179592","no value","no value","1.03533322783934","0.395805687860617",0
"GTDC1","1.0832652610817","0.00287288258215556","no value","no value","no value","no value","1.06461473568201","0.825200940044075",1
"GTF2A1","0.480022875910672","0.00113422206003642","0.922111786985167","0.853862555272817","no value","no value","no value","no value",-1
"GTF2A1L","no value","no value","no value","no value","no value","no value","0.837154419701902","0.0201315562488168",-1
"GTF2A2","0.554597497543238","0.00152733217535465","3.58794255695569","0.103792617964788","no value","no value","1.0583427110122","0.261741708797592",-1
"GTF2B","0.468537556344151","0.00370989290723414","2.99353444335689","0.0611666262624005","no value","no value","0.992926031988527","0.296775252051555",0
"GTF2E1","no value","no value","no value","no value","no value","no value","0.971136903213003","0.159745492289482",0
"GTF2E2","0.530679031423131","0.00789857734723761","1.90413899230861","0.668920936229178","no value","no value","1.0679347917053","0.651913277388088",-1
"GTF2F1","0.738069802879377","0.0242985640057523","1.42736853308602","0.147702713912639","no value","no value","1.03209997313684","0.505781110011442",-1
"GTF2F2","0.636416390570978","0.0604387186516633","1.12755313910685","0.762302130182828","no value","no value","0.991936215599224","0.131524482722191",-1
"GTF2H2","0.461586242995825","2.34195294708023e-05","0.150938415526424","0.267792373024718","no value","no value","no value","no value",-1
"GTF2H2C","no value","no value","no value","no value","no value","no value","1.05728535525741","0.254794603572516",0
"GTF2H3","0.600737249754916","0.000240129182631045","0.581669912776321","0.000489209784125701","no value","no value","0.673245025629693","9.37628361808305e-07",-3
"GTF2H4","0.596870591942048","0.26842177705594","Inf","0.166627174742656","no value","no value","0.982068938587825","0.0958394613755853",-1
"GTF2I","0.498005802186672","0.000320355960261076","Inf","0.00120017028743553","no value","no value","0.843438466165233","2.32657666698616e-05",-1
"GTF2IP1","no value","no value","no value","no value","no value","no value","0.792481355997797","0.000987326199204921",-1
"GTF2IRD1","0.658144800462629","0.00211876016807089","Inf","0.147162098662532","no value","no value","0.837360964509231","0.0419035386427874",-2
"GTF2IRD2","0.576407701863132","0.000199226818775283","1.25774349019056","0.74089441657508","no value","no value","1.02230422849003","0.625171876677574",-1
"GTF2IRD2B","no value","no value","no value","no value","no value","no value","0.987478802417066","0.313578810729583",0
"GTF3A","0.569990744473142","0.00408305077790527","2.02194856686502","0.344354154356801","no value","no value","1.68480398233256","0.115239608549885",-1
"GTF3C1","0.526079873424372","1.69305808401032e-06","3.36390744722251","0.0715958491752937","no value","no value","1.08339531003683","0.0745808807172242",1
"GTF3C2","0.604693254049517","0.00257322278849424","Inf","0.166627174742656","no value","no value","0.990132379553081","0.440981846865771",-1
